Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,8,0,75,61315.24263262417,23.88474199688062,280224.7873170017,0.0,0.02812392374457434,0.0,78,140,210000,210000,280000,280000,280000,280000,280000,280000,280000
NT PLAIN E2E,end_to_end_latency,4,0,117000,99708.18120075,5643.131360000552,153161.78173300068,509.75,0.01406196187228717,0.0,123000,123000,153000,153000,153000,153000,153000,153000,153000,153000,153000
NT RAG E2E,end_to_end_latency,2,0,215000,250676.86876949848,214896.98775999932,286456.7497789976,714.0,0.007030980936143585,0.0,286000,286000,286000,286000,286000,286000,286000,286000,286000,286000,286000
PLAIN E2E,end_to_end_latency,2,0,70000,135709.70833550018,69984.19067400027,201435.2259970001,487.0,0.007030980936143585,0.0,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000,201000
NT PLAIN ITL avg,inter_token_latency_avg,4,0,35,35.1220018256479,32.602329535707426,36.967530673870854,509.75,0.01406196187228717,0.0,36,36,37,37,37,37,37,37,37,37,37
NT RAG ITL avg,inter_token_latency_avg,2,0,28,30.226629820776594,27.699886812788215,32.753372828764974,714.0,0.007030980936143585,0.0,33,33,33,33,33,33,33,33,33,33,33
PLAIN ITL avg,inter_token_latency_avg,2,0,33,33.94849532256751,32.51162986735111,35.385360777783916,487.0,0.007030980936143585,0.0,35,35,35,35,35,35,35,35,35,35,35
NT PLAIN ITL p95,inter_token_latency_p95,4,0,43,48.548799150239574,33.698403949529165,71.43068325149216,509.75,0.01406196187228717,0.0,46,46,71,71,71,71,71,71,71,71,71
NT RAG ITL p95,inter_token_latency_p95,2,0,38,39.86761512469457,37.642186250195664,42.09304399919347,714.0,0.007030980936143585,0.0,42,42,42,42,42,42,42,42,42,42,42
PLAIN ITL p95,inter_token_latency_p95,2,0,38.27122800066718,40.36506962575004,38.27122800066718,42.4589112508329,487.0,0.007030980936143585,0.0,42,42,42,42,42,42,42,42,42,42,42
NT PLAIN TPS,ms_per_output_token,4,0,140,375.5232970984843,7.197871632653766,747.1306426000033,509.75,0.01406196187228717,0.0,600,600,750,750,750,750,750,750,750,750,750
NT RAG TPS,ms_per_output_token,2,0,344.93898516853824,350.3929396519695,344.93898516853824,355.84689413540076,714.0,0.007030980936143585,0.0,360,360,360,360,360,360,360,360,360,360,360
PLAIN TPS,ms_per_output_token,2,0,253.37764276352212,322.1753875102535,253.37764276352212,390.9731322569848,487.0,0.007030980936143585,0.0,390,390,390,390,390,390,390,390,390,390,390
NT RAG overhead,retrieval_overhead_vs_nt_plain,2,0,59000,169439.24763299763,58659.44965399831,280219.04561199696,0.0,0.007030980936143585,0.0,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000
NT PLAIN TTFT,time_to_first_token,4,0,115000,95624.15032925128,132.5278590011294,151422.08113600282,0.0,0.01406196187228717,0.0,116000,116000,151000,151000,151000,151000,151000,151000,151000,151000,151000
NT RAG TTFT,time_to_first_token,2,0,210081.53079000112,245216.55213049962,210081.53079000112,280351.5734709981,0.0,0.007030980936143585,0.0,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000
PLAIN TTFT,time_to_first_token,2,0,69000,131849.1451200007,68678.37875999976,195019.9114800016,0.0,0.007030980936143585,0.0,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000
,Aggregated,50,0,140,62822.10079648802,7.197871632653766,286456.7497789976,355.28,0.1757745234035896,0.0,250,69000,117000,153000,215000,280000,286000,286000,286000,286000,286000
