Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,24,0,460,446.9476178333025,121.93144799675792,768.8666329995613,0.0,0.08274441850556614,0.0,460,470,530,530,750,770,770,770,770,770,770
PLAIN E2E,end_to_end_latency,24,0,145000,147365.20267608328,22337.653612001304,291049.49818099703,771.125,0.08274441850556614,0.0,158000,189000,213000,222000,254000,280000,291000,291000,291000,291000,291000
PLAIN ITL avg,inter_token_latency_avg,24,0,37,36.807751947665075,35.714893345181835,40.37300637248657,771.125,0.08274441850556614,0.0,37,37,37,37,38,39,40,40,40,40,40
PLAIN ITL p95,inter_token_latency_p95,24,0,42,48.011064754276354,36.81329620012548,115.12984550063265,771.125,0.08274441850556614,0.0,42,45,50,50,62,74,120,120,120,120,120
PLAIN TPS,ms_per_output_token,24,0,200,297.89671004776955,28.056839807915082,1470.7632158323593,771.125,0.08274441850556614,0.0,210,270,400,410,700,750,1500,1500,1500,1500,1500
PLAIN TTFT,time_to_first_token,24,0,135000,140521.09698300014,20106.372215999727,287411.2496939997,0.0,0.08274441850556614,0.0,155000,181000,203000,217000,253000,268000,287000,287000,287000,287000,287000
,Aggregated,144,0,320,48119.3271339444,28.056839807915082,291049.49818099703,514.0833333333334,0.4964665110333969,0.0,370,1500,69000,110000,203000,225000,280000,287000,291000,291000,291000
