Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,20,0,510,522.2255662501993,370.7822849992226,678.2484119994479,0.0,0.07528271893502884,0.0,510,560,600,620,680,680,680,680,680,680,680
NT PLAIN E2E,end_to_end_latency,20,0,144000,156261.69002225035,71250.58953299958,268666.5007259999,534.25,0.07528271893502884,0.0,146000,167000,178000,183000,253000,269000,269000,269000,269000,269000,269000
NT PLAIN ITL avg,inter_token_latency_avg,20,0,35,34.79538647072478,28.53754265431044,37.619728776607715,534.25,0.07528271893502884,0.0,35,36,37,37,38,38,38,38,38,38,38
NT PLAIN ITL p95,inter_token_latency_p95,20,0,52,58.49659317745134,38.80852080092154,97.99399550065579,534.25,0.07528271893502884,0.0,53,62,68,74,91,98,98,98,98,98,98
NT PLAIN TPS,ms_per_output_token,20,0,280,331.4216058474,153.95804414784274,585.2031729812753,534.25,0.07528271893502884,0.0,300,390,430,480,570,590,590,590,590,590,590
NT PLAIN TTFT,time_to_first_token,20,0,141000,151680.29198500016,67441.95114399918,259696.04846299806,0.0,0.07528271893502884,0.0,144000,158000,171000,178000,244000,260000,260000,260000,260000,260000,260000
,Aggregated,120,0,430,51481.4868598327,28.53754265431044,268666.5007259999,356.1666666666667,0.45169631361017304,0.0,460,680,127000,138000,167000,243000,253000,260000,269000,269000,269000
