Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,5,0,19000,65191.99749999971,107.30862600030378,269107.16103999945,0.0,0.01787323231821431,0.0,19000,20000,20000,269000,269000,269000,269000,269000,269000,269000,269000
PLAIN E2E,end_to_end_latency,4,0,203000,181449.24213899957,32556.426409999403,250878.26918800056,986.25,0.014298585854571446,0.0,239000,239000,251000,251000,251000,251000,251000,251000,251000,251000,251000
RAG E2E,end_to_end_latency,1,0,283750.0124340004,283750.0124340004,283750.0124340004,283750.0124340004,688.0,0.0035746464636428614,0.0,284000,284000,284000,284000,284000,284000,284000,284000,284000,284000,284000
PLAIN ITL avg,inter_token_latency_avg,4,0,33,32.350586113277366,26.877730333217187,37.09468690872375,986.25,0.014298585854571446,0.0,33,33,37,37,37,37,37,37,37,37,37
RAG ITL avg,inter_token_latency_avg,1,0,26.848874749981,26.848874749981,26.848874749981,26.848874749981,688.0,0.0035746464636428614,0.0,27,27,27,27,27,27,27,27,27,27,27
PLAIN ITL p95,inter_token_latency_p95,4,0,40,43.38125507551922,32.17746559948864,60.91295639926102,986.25,0.014298585854571446,0.0,40,40,61,61,61,61,61,61,61,61,61
RAG ITL p95,inter_token_latency_p95,1,0,32.15213630137441,32.15213630137441,32.15213630137441,32.15213630137441,688.0,0.0035746464636428614,0.0,32,32,32,32,32,32,32,32,32,32,32
PLAIN TPS,ms_per_output_token,4,0,210,215.74062175802618,110.46061413905494,312.0160343707549,986.25,0.014298585854571446,0.0,230,230,310,310,310,310,310,310,310,310,310
RAG TPS,ms_per_output_token,1,0,412.42734365407034,412.42734365407034,412.42734365407034,412.42734365407034,688.0,0.0035746464636428614,0.0,410,410,410,410,410,410,410,410,410,410,410
RAG overhead,retrieval_overhead_vs_plain,1,0,248145.11116699944,248145.11116699944,248145.11116699944,248145.11116699944,0.0,0.0035746464636428614,0.0,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000
PLAIN TTFT,time_to_first_token,4,0,185000,172867.4009485012,31718.1734850019,241593.78737700172,0.0,0.014298585854571446,0.0,233000,233000,242000,242000,242000,242000,242000,242000,242000,242000,242000
RAG TTFT,time_to_first_token,1,0,279863.28465200134,279863.28465200134,279863.28465200134,279863.28465200134,0.0,0.0035746464636428614,0.0,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000,280000
,Aggregated,31,0,410,82471.68665514502,26.848874749981,283750.0124340004,597.8064516129032,0.1108140403729287,0.0,410,33000,233000,239000,251000,280000,284000,284000,284000,284000,284000
