Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,26,0,30000,80511.28051876872,16.887009998754365,247795.83492799793,0.0,0.08854757506809532,0.0,96000,115000,177000,183000,208000,210000,248000,248000,248000,248000,248000
NT PLAIN E2E,end_to_end_latency,4,0,7000,20098.465651748484,6530.648303996713,55483.90932099937,393.5,0.01362270385663005,0.0,11000,11000,55000,55000,55000,55000,55000,55000,55000,55000,55000
NT RAG E2E,end_to_end_latency,9,0,186000,159673.64500422223,31640.396984999825,251451.70210099968,641.4444444444445,0.030651083677417614,0.0,186000,187000,203000,215000,251000,251000,251000,251000,251000,251000,251000
PLAIN E2E,end_to_end_latency,8,0,38000,38204.93145574937,13497.19854399882,59503.86837699989,942.375,0.0272454077132601,0.0,41000,42000,57000,57000,60000,60000,60000,60000,60000,60000,60000
RAG E2E,end_to_end_latency,5,0,276000,242719.22989599983,120006.83296699935,294627.0502070001,424.0,0.017028379820787563,0.0,276000,288000,288000,295000,295000,295000,295000,295000,295000,295000,295000
NT PLAIN ITL avg,inter_token_latency_avg,4,0,35,35.567874225164715,34.90233191666903,36.211427976732644,393.5,0.01362270385663005,0.0,36,36,36,36,36,36,36,36,36,36,36
NT RAG ITL avg,inter_token_latency_avg,9,0,37,38.14010169142141,36.000566260773084,43.738133153825544,641.4444444444445,0.030651083677417614,0.0,37,38,39,40,44,44,44,44,44,44,44
PLAIN ITL avg,inter_token_latency_avg,8,0,35,35.00432563943295,28.844011457039187,38.04130343389471,942.375,0.0272454077132601,0.0,36,37,37,37,38,38,38,38,38,38,38
RAG ITL avg,inter_token_latency_avg,5,0,36.93936319659692,36.78377608865306,36.60104230000343,36.93936319659692,424.0,0.017028379820787563,0.0,37,37,37,37,37,37,37,37,37,37,37
NT PLAIN ITL p95,inter_token_latency_p95,4,0,45,48.5175091246674,39.293420499234344,62.70905559831587,393.5,0.01362270385663005,0.0,47,47,63,63,63,63,63,63,63,63,63
NT RAG ITL p95,inter_token_latency_p95,9,0,53,65.8898809503929,37.75286730033258,109.18800850231503,641.4444444444445,0.030651083677417614,0.0,53,71,78,96,110,110,110,110,110,110,110
PLAIN ITL p95,inter_token_latency_p95,8,0,36,42.36819746254241,34.93978825008526,63.79422775171406,942.375,0.0272454077132601,0.0,38,41,53,53,64,64,64,64,64,64,64
RAG ITL p95,inter_token_latency_p95,5,0,38,39.87476368962234,37.87945800067973,44.70562739879824,424.0,0.017028379820787563,0.0,38,40,40,45,45,45,45,45,45,45,45
NT PLAIN TPS,ms_per_output_token,4,0,18,85.41963146698954,9.316188736086609,274.672818420789,393.5,0.01362270385663005,0.0,39,39,270,270,270,270,270,270,270,270,270
NT RAG TPS,ms_per_output_token,9,0,250,326.1476734742814,76.49720753298212,698.7972736578945,641.4444444444445,0.030651083677417614,0.0,250,300,470,530,700,700,700,700,700,700,700
PLAIN TPS,ms_per_output_token,8,0,30,51.155469095673794,23.111641342463734,148.23267546639926,942.375,0.0272454077132601,0.0,41,55,57,57,150,150,150,150,150,150,150
RAG TPS,ms_per_output_token,5,0,920,709.961177314319,173.1700331414132,1018.7229528782259,424.0,0.017028379820787563,0.0,920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
NT RAG overhead,retrieval_overhead_vs_nt_plain,9,0,168000,140027.3109070028,21297.400651004864,239045.7779430035,0.0,0.030651083677417614,0.0,168000,175000,188000,201000,239000,239000,239000,239000,239000,239000,239000
RAG overhead,retrieval_overhead_vs_plain,5,0,226000,201140.2048495998,78946.1626270022,284210.04474599974,0.0,0.017028379820787563,0.0,226000,238000,238000,284000,284000,284000,284000,284000,284000,284000,284000
NT PLAIN TTFT,time_to_first_token,4,0,3600,16642.196515997966,173.66217299786513,53856.33838699869,0.0,0.01362270385663005,0.0,8900,8900,54000,54000,54000,54000,54000,54000,54000,54000,54000
NT RAG TTFT,time_to_first_token,9,0,177000,153937.2955562224,30214.09108300213,247962.46837500075,0.0,0.030651083677417614,0.0,177000,184000,196000,210000,248000,248000,248000,248000,248000,248000,248000
PLAIN TTFT,time_to_first_token,8,0,28000,30182.70749437488,8208.354030997725,52055.052428000636,0.0,0.0272454077132601,0.0,29000,35000,48000,48000,52000,52000,52000,52000,52000,52000,52000
RAG TTFT,time_to_first_token,5,0,274000,239292.17391339914,114114.26656500043,292418.39877699746,0.0,0.017028379820787563,0.0,274000,285000,285000,292000,292000,292000,292000,292000,292000,292000,292000
,Aggregated,170,0,430,60561.00177499613,9.316188736086609,294627.0502070001,400.1411764705882,0.5789649139067772,0.0,470,46000,111000,168000,210000,248000,285000,292000,295000,295000,295000
