Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,46,0,90000,85545.80472536953,13.887701001294772,209411.74604700063,0.0,0.1602820814669232,0.0,101000,144000,152000,159000,185000,191000,209000,209000,209000,209000,209000
NT PLAIN E2E,end_to_end_latency,15,0,3300,4561.764214533105,1387.123413000154,16058.28070699863,560.6,0.05226589613051843,0.0,3300,4500,6000,6800,7400,16000,16000,16000,16000,16000,16000
NT RAG E2E,end_to_end_latency,31,0,146000,132082.34594638695,12822.890729999926,211198.72973400017,646.8387096774194,0.10801618533640475,0.0,146000,164000,179000,180000,193000,199000,211000,211000,211000,211000,211000
NT PLAIN ITL avg,inter_token_latency_avg,15,0,33,32.50228764113646,26.461877050922812,36.87897898808366,560.6,0.05226589613051843,0.0,33,34,35,36,37,37,37,37,37,37,37
NT RAG ITL avg,inter_token_latency_avg,31,0,32,32.037390444381316,25.99736997333821,36.26863332000236,646.8387096774194,0.10801618533640475,0.0,32,33,33,33,34,36,36,36,36,36,36
NT PLAIN ITL p95,inter_token_latency_p95,15,0,39,39.505825149960096,32.15300379997643,50.10419189984533,560.6,0.05226589613051843,0.0,39,40,45,45,48,50,50,50,50,50,50
NT RAG ITL p95,inter_token_latency_p95,31,0,36,37.636175751510066,32.26148799967632,74.0043440009685,646.8387096774194,0.10801618533640475,0.0,36,37,38,38,41,50,74,74,74,74,74
NT PLAIN TPS,ms_per_output_token,15,0,8,8.350107053226447,6.397597962963379,12.380626146659779,560.6,0.05226589613051843,0.0,8,8,9,9,9,12,12,12,12,12,12
NT RAG TPS,ms_per_output_token,31,0,200,276.12743740029873,55.75961873494097,1292.0630547499993,646.8387096774194,0.10801618533640475,0.0,200,250,290,290,550,900,1300,1300,1300,1300,1300
NT RAG overhead,retrieval_overhead_vs_nt_plain,31,0,143000,126809.95239596775,11374.149960000068,209442.24499799928,0.0,0.10801618533640475,0.0,143000,154000,173000,178000,187000,198000,209000,209000,209000,209000,209000
NT PLAIN TTFT,time_to_first_token,15,0,130,204.96017099976598,94.06837099959375,757.9771679993428,0.0,0.05226589613051843,0.0,130,160,220,220,430,760,760,760,760,760,760
NT RAG TTFT,time_to_first_token,31,0,144000,127030.33536035467,11499.507950999032,209558.86685900076,0.0,0.10801618533640475,0.0,144000,155000,173000,178000,187000,198000,210000,210000,210000,210000,210000
,Aggregated,307,0,250,52059.070789391306,6.397597962963379,211198.72973400017,370.8273615635179,1.0697086741379438,0.0,250,83000,105000,144000,173000,187000,198000,209000,211000,211000,211000
