Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,27,0,95,90.47997233338484,61.08697499985283,144.36509299957834,0.0,0.09549380321943503,0.0,95,96,120,120,130,130,140,140,140,140,140
NT PLAIN E2E,end_to_end_latency,27,0,135000,147843.5904585555,33130.2234900013,283742.65304599976,511.6666666666667,0.09549380321943503,0.0,135000,175000,252000,255000,280000,281000,284000,284000,284000,284000,284000
NT PLAIN ITL avg,inter_token_latency_avg,27,0,36,36.25834006078053,32.7618162686556,40.67558252858622,511.6666666666667,0.09549380321943503,0.0,36,37,37,37,38,38,41,41,41,41,41
NT PLAIN ITL p95,inter_token_latency_p95,27,0,47,55.68217484981317,36.335024999425514,107.9850040502606,511.6666666666667,0.09549380321943503,0.0,47,51,68,75,97,98,110,110,110,110,110
NT PLAIN TPS,ms_per_output_token,27,0,350,373.8425512464499,57.227802966007914,1399.6166158407987,511.6666666666667,0.09549380321943503,0.0,350,470,530,560,620,850,1400,1400,1400,1400,1400
NT PLAIN TTFT,time_to_first_token,27,0,132000,143415.48796040736,29883.22351500028,279648.47736699996,0.0,0.09549380321943503,0.0,132000,168000,249000,249000,276000,279000,280000,280000,280000,280000,280000
,Aggregated,162,0,120,48635.89024290887,32.7618162686556,283742.65304599976,341.1111111111111,0.5729628193166102,0.0,120,850,52000,101000,177000,263000,280000,281000,284000,284000,284000
