Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,41,0,62000,80515.87731309781,15.454491000127746,265484.4791960004,0.0,0.1407465701552302,0.0,62000,150000,154000,168000,197000,217000,265000,265000,265000,265000,265000
NT PLAIN E2E,end_to_end_latency,10,0,10000,13270.56875460039,3227.681786998801,27175.07364100129,476.9,0.0343284317451781,0.0,15000,17000,20000,26000,27000,27000,27000,27000,27000,27000,27000
NT RAG E2E,end_to_end_latency,18,0,165000,169949.6543427775,69606.56671400102,267437.5627319987,629.0555555555555,0.06179117714132058,0.0,170000,182000,200000,216000,231000,267000,267000,267000,267000,267000,267000
PLAIN E2E,end_to_end_latency,8,0,41000,45368.045309624446,18016.546144999666,78392.40354699905,784.75,0.02746274539614248,0.0,41000,56000,69000,69000,78000,78000,78000,78000,78000,78000,78000
RAG E2E,end_to_end_latency,5,0,253000,237068.4419388002,142004.68226500016,293304.66331800015,518.8,0.01716421587258905,0.0,253000,276000,276000,293000,293000,293000,293000,293000,293000,293000,293000
NT PLAIN ITL avg,inter_token_latency_avg,10,0,36,36.77229685748971,35.019991107132924,38.685038910257276,476.9,0.0343284317451781,0.0,37,37,38,38,39,39,39,39,39,39,39
NT RAG ITL avg,inter_token_latency_avg,18,0,39,38.52476834661369,36.58851238297815,40.548377769226086,629.0555555555555,0.06179117714132058,0.0,39,39,39,39,40,41,41,41,41,41,41
PLAIN ITL avg,inter_token_latency_avg,8,0,36,36.55723556987536,34.624486603772894,39.49291519868152,784.75,0.02746274539614248,0.0,36,38,39,39,39,39,39,39,39,39,39
RAG ITL avg,inter_token_latency_avg,5,0,38,38.429327613207015,36.9573074573254,41.41002737036683,518.8,0.01716421587258905,0.0,38,39,39,41,41,41,41,41,41,41,41
NT PLAIN ITL p95,inter_token_latency_p95,10,0,39,42.00028749034572,35.87268869996478,63.65421739974401,476.9,0.0343284317451781,0.0,40,40,44,46,64,64,64,64,64,64,64
NT RAG ITL p95,inter_token_latency_p95,18,0,48,51.52325518884028,37.881944999753614,78.40442084952888,629.0555555555555,0.06179117714132058,0.0,48,50,65,66,77,78,78,78,78,78,78
PLAIN ITL p95,inter_token_latency_p95,8,0,39,45.01748363765046,36.60229520100984,70.17892700059747,784.75,0.02746274539614248,0.0,40,44,56,56,70,70,70,70,70,70,70
RAG ITL p95,inter_token_latency_p95,5,0,49,50.69013634982184,38.151905698669,64.71979415000533,518.8,0.01716421587258905,0.0,49,53,53,65,65,65,65,65,65,65,65
NT PLAIN TPS,ms_per_output_token,10,0,14,35.57543078473841,9.121786537987466,89.06466216382327,476.9,0.0343284317451781,0.0,22,47,71,73,89,89,89,89,89,89,89
NT RAG TPS,ms_per_output_token,18,0,260,465.15933181553373,72.53142335610983,1364.4773608775442,629.0555555555555,0.06179117714132058,0.0,280,470,760,870,1100,1400,1400,1400,1400,1400,1400
PLAIN TPS,ms_per_output_token,8,0,60,80.03929970447126,23.1159047900073,169.68921992592198,784.75,0.02746274539614248,0.0,75,120,130,130,170,170,170,170,170,170,170
RAG TPS,ms_per_output_token,5,0,400,489.8914093434402,258.19033139090936,752.0632392769235,518.8,0.01716421587258905,0.0,400,660,660,750,750,750,750,750,750,750,750
NT RAG overhead,retrieval_overhead_vs_nt_plain,18,0,137000,150294.3954567219,62337.24215100119,265508.8716299979,0.0,0.06179117714132058,0.0,145000,158000,181000,212000,222000,266000,266000,266000,266000,266000,266000
RAG overhead,retrieval_overhead_vs_plain,5,0,214000,193623.21206959971,86580.4791999999,253672.90640399916,0.0,0.01716421587258905,0.0,214000,235000,235000,254000,254000,254000,254000,254000,254000,254000,254000
NT PLAIN TTFT,time_to_first_token,10,0,3500,9019.726403400091,148.31900200078962,23516.37360300083,0.0,0.0343284317451781,0.0,5700,14000,17000,23000,24000,24000,24000,24000,24000,24000,24000
NT RAG TTFT,time_to_first_token,18,0,161000,163432.83354049982,62509.160730000076,265657.1906319987,0.0,0.06179117714132058,0.0,169000,181000,198000,212000,222000,266000,266000,266000,266000,266000,266000
PLAIN TTFT,time_to_first_token,8,0,36000,38285.011096249946,12282.25545100031,72353.53369699988,0.0,0.02746274539614248,0.0,39000,51000,52000,52000,72000,72000,72000,72000,72000,72000,72000
RAG TTFT,time_to_first_token,5,0,250000,232731.66116859973,137463.15103099914,289837.79981999943,0.0,0.01716421587258905,0.0,250000,271000,271000,290000,290000,290000,290000,290000,290000,290000,290000
,Aggregated,269,0,460,60341.65066072294,9.121786537987466,293304.66331800015,371.2118959107807,0.9234348139452909,0.0,460,62000,137000,154000,212000,229000,266000,276000,293000,293000,293000
