Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat/completions,13,0,101000,100454.54290830794,45.85771300116903,285582.3476679998,0.0,0.04466599629658389,0.0,101000,117000,175000,236000,257000,286000,286000,286000,286000,286000,286000
NT PLAIN E2E,end_to_end_latency,3,0,121000,83142.9084303333,6500.682642999891,121926.46177999995,617.0,0.010307537606903974,0.0,121000,121000,122000,122000,122000,122000,122000,122000,122000,122000,122000
NT RAG E2E,end_to_end_latency,7,0,182000,173225.44632157093,20370.414791999792,291483.7950539986,676.4285714285714,0.02405092108277594,0.0,182000,238000,260000,260000,291000,291000,291000,291000,291000,291000,291000
PLAIN E2E,end_to_end_latency,2,0,120000,129501.0050514993,119533.14723899894,139468.86286399968,859.5,0.006871691737935982,0.0,139000,139000,139000,139000,139000,139000,139000,139000,139000,139000,139000
RAG E2E,end_to_end_latency,1,0,171226.56450000068,171226.56450000068,171226.56450000068,171226.56450000068,417.0,0.003435845868967991,0.0,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000
NT PLAIN ITL avg,inter_token_latency_avg,3,0,36,33.83725083217985,27.485736675318698,37.714370066108934,617.0,0.010307537606903974,0.0,36,36,38,38,38,38,38,38,38,38,38
NT RAG ITL avg,inter_token_latency_avg,7,0,27,28.054351792329545,26.954864807346294,32.794197886480994,676.4285714285714,0.02405092108277594,0.0,27,27,28,28,33,33,33,33,33,33,33
PLAIN ITL avg,inter_token_latency_avg,2,0,36.56577516168016,36.55166583679025,36.53755651190035,36.56577516168016,859.5,0.006871691737935982,0.0,37,37,37,37,37,37,37,37,37,37,37
RAG ITL avg,inter_token_latency_avg,1,0,26.9834793085233,26.9834793085233,26.9834793085233,26.9834793085233,417.0,0.003435845868967991,0.0,27,27,27,27,27,27,27,27,27,27,27
NT PLAIN ITL p95,inter_token_latency_p95,3,0,40,42.109555733683614,31.499368000368122,54.331420000380604,617.0,0.010307537606903974,0.0,40,40,54,54,54,54,54,54,54,54,54
NT RAG ITL p95,inter_token_latency_p95,7,0,30,31.043960742993345,27.73971679926035,39.660718800223556,676.4285714285714,0.02405092108277594,0.0,30,30,32,32,40,40,40,40,40,40,40
PLAIN ITL p95,inter_token_latency_p95,2,0,40,41.792743399992105,39.7244251000302,43.86106169995401,859.5,0.006871691737935982,0.0,44,44,44,44,44,44,44,44,44,44,44
RAG ITL p95,inter_token_latency_p95,1,0,27.75811990040893,27.75811990040893,27.75811990040893,27.75811990040893,417.0,0.003435845868967991,0.0,28,28,28,28,28,28,28,28,28,28,28
NT PLAIN TPS,ms_per_output_token,3,0,250,194.34215078276682,6.533349389949639,323.533638684492,617.0,0.010307537606903974,0.0,250,250,320,320,320,320,320,320,320,320,320
NT RAG TPS,ms_per_output_token,7,0,270,315.64878852105403,16.72447848275845,630.0645243862443,676.4285714285714,0.02405092108277594,0.0,270,340,540,540,630,630,630,630,630,630,630
PLAIN TPS,ms_per_output_token,2,0,132.57496469961947,155.8925402501088,132.57496469961947,179.21011580059812,859.5,0.006871691737935982,0.0,180,180,180,180,180,180,180,180,180,180,180
RAG TPS,ms_per_output_token,1,0,410.61526258992967,410.61526258992967,410.61526258992967,410.61526258992967,417.0,0.003435845868967991,0.0,410,410,410,410,410,410,410,410,410,410,410
NT RAG overhead,retrieval_overhead_vs_nt_plain,7,0,114000,137441.30393014272,0,285573.93751699966,0.0,0.02405092108277594,0.0,114000,236000,257000,257000,286000,286000,286000,286000,286000,286000,286000
RAG overhead,retrieval_overhead_vs_plain,1,0,38437.8663869993,38437.8663869993,38437.8663869993,38437.8663869993,0.0,0.003435845868967991,0.0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
NT PLAIN TTFT,time_to_first_token,3,0,117000,78269.8354473335,122.79461199977959,117371.84601700028,0.0,0.010307537606903974,0.0,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000
NT RAG TTFT,time_to_first_token,7,0,175000,168709.76023971397,11630.279832999804,285696.7321289994,0.0,0.02405092108277594,0.0,175000,236000,257000,257000,286000,286000,286000,286000,286000,286000,286000
PLAIN TTFT,time_to_first_token,2,0,113372.08510399978,121798.23351699997,113372.08510399978,130224.38193000016,0.0,0.006871691737935982,0.0,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000
RAG TTFT,time_to_first_token,1,0,168662.24831699947,168662.24831699947,168662.24831699947,168662.24831699947,0.0,0.003435845868967991,0.0,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000
,Aggregated,86,0,1500,70128.79007630477,0,291483.7950539986,405.6744186046512,0.29548274473124725,0.0,1500,113000,120000,139000,238000,260000,286000,291000,291000,291000,291000
